Rk,Team,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Finals,Conference Finals,1st Round,2nd Round
1,Golden State Warriors*,82,,,241.2,43.1,87.1,0.495,12,31.2,0.383,31.1,55.8,0.557,17.8,22.6,0.788,9.4,35,44.4,30.4,9.6,6.8,14.8,19.3,115.9,2016-2017,W,W,W,W
2,Houston Rockets*,82,,,241.2,40.3,87.2,0.462,14.4,40.3,0.357,25.9,46.9,0.552,20.3,26.5,0.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,2016-2017,L,L,W,L
4,Cleveland Cavaliers*,82,,,242.4,39.9,84.9,0.47,13,33.9,0.384,26.9,51,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4,13.7,18.1,110.3,2016-2017,L,W,W,W
5,Washington Wizards*,82,,,242.1,41.3,87,0.475,9.2,24.8,0.372,32.1,62.3,0.515,17.3,22.1,0.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2,2016-2017,L,L,W,L
6,Los Angeles Clippers*,82,,,240.9,39.5,83.2,0.475,10.3,27.4,0.375,29.3,55.8,0.525,19.3,26,0.745,9,34,43,22.5,7.5,4.2,13,19.8,108.7,2016-2017,L,L,L,L
7,Boston Celtics*,82,,,240.9,38.6,85.1,0.454,12,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42,25.2,7.5,4.1,13.3,20.6,108,2016-2017,L,L,W,W
8,Portland Trail Blazers*,82,,,243,39.5,86.1,0.459,10.4,27.7,0.375,29.2,58.4,0.499,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7,5,13.7,21.2,107.9,2016-2017,L,L,L,L
10,Toronto Raptors*,82,,,241.2,39.2,84.4,0.464,8.8,24.3,0.363,30.3,60,0.505,19.7,24.7,0.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,2016-2017,L,L,W,L
11,Oklahoma City Thunder*,82,,,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21,7.9,5,15,20.9,106.6,2016-2017,L,L,L,L
14,San Antonio Spurs*,82,,,241.5,39.3,83.7,0.469,9.2,23.5,0.391,30.1,60.2,0.5,17.6,22,0.797,10,33.9,43.9,23.8,8,5.9,13.4,18.3,105.3,2016-2017,L,L,W,W
15,Indiana Pacers*,82,,,242.1,39.3,84.5,0.465,8.6,23,0.376,30.6,61.5,0.498,17.9,22.1,0.81,9,33,42,22.5,8.2,5,13.8,19.5,105.1,2016-2017,L,L,L,L
20,Milwaukee Bucks*,82,,,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30,58.2,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14,20.2,103.6,2016-2017,L,L,L,L
22,Atlanta Hawks*,82,,,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,2016-2017,L,L,L,L
23,Chicago Bulls*,82,,,241.2,38.6,87.1,0.444,7.6,22.3,0.34,31,64.8,0.479,18,22.5,0.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9,2016-2017,L,L,L,L
28,Utah Jazz*,82,,,240.9,37,79.5,0.466,9.6,26,0.372,27.3,53.5,0.511,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5,13.6,18.8,100.7,2016-2017,L,L,W,L
29,Memphis Grizzlies*,82,,,242.7,36.4,83.6,0.435,9.4,26.5,0.354,27,57.1,0.473,18.3,23.4,0.784,10.8,32,42.8,21.3,8,4.2,12.9,22.4,100.5,2016-2017,L,L,L,L
1,Golden State Warriors*,82,,,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8,7.5,15.5,19.6,113.5,2017-2018,Y,,,
2,Houston Rockets*,82,,,240.9,38.7,84.2,0.46,15.3,42.3,0.362,23.4,41.9,0.558,19.6,25.1,0.781,9,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,2017-2018,Y,,,
3,New Orleans Pelicans*,82,,,243.4,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8,5.9,14.9,19.1,111.7,2017-2018,Y,,,
4,Toronto Raptors*,82,,,241.8,41.3,87.4,0.472,11.8,33,0.358,29.5,54.5,0.541,17.3,21.8,0.794,9.8,34.2,44,24.3,7.6,6.1,13.4,21.8,111.7,2017-2018,Y,,,
5,Cleveland Cavaliers*,82,,,240.6,40.4,84.8,0.476,12,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,2017-2018,Y,,,
7,Philadelphia 76ers*,82,,,241.2,40.8,86.6,0.472,11,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,2017-2018,Y,,,
8,Minnesota Timberwolves*,82,,,241.5,41,86.1,0.476,8,22.5,0.357,33,63.6,0.519,19.4,24.1,0.804,10.3,31.6,42,22.7,8.4,4.2,12.5,18.2,109.5,2017-2018,Y,,,
12,Oklahoma City Thunder*,82,,,241.8,39.9,88,0.453,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.715,12.5,32.6,45.1,21.3,9.1,5,14,20.2,107.9,2017-2018,Y,,,
13,Washington Wizards*,82,,,242.1,39.9,85.6,0.467,9.9,26.5,0.375,30,59.1,0.508,16.8,21.8,0.772,10,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,2017-2018,Y,,,
15,Milwaukee Bucks*,82,,,241.8,39.7,83,0.478,8.8,24.7,0.355,31,58.3,0.531,18.3,23.4,0.782,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,2017-2018,Y,,,
