Team ID,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Rk,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,TOV,PF,PTS,Finals
Atlanta Hawks*2016-2017,43,39,0.524,2,-1.23,97.4,1.0,104.9,-3.9,105.7,-3.1,22,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,15.8,18.2,103.2,L
Atlanta Hawks*2015-2016,48,34,0.585,2,3.49,97.1,1.3,105.1,-1.3,101.4,-5.0,12,241.8,38.6,84.4,0.45799999999999996,9.9,28.4,0.35,28.7,0.512,15.6,20.0,0.7829999999999999,8.3,33.8,42.1,25.6,9.1,15.0,19.1,102.8,L
Atlanta Hawks*2014-2015,60,22,0.732,1,4.75,93.9,0.0,108.9,3.3,103.1,-2.5,10,240.6,38.1,81.7,0.466,10.0,26.2,0.38,28.1,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,14.2,17.8,102.5,L
Atlanta Hawks*2013-2014,38,44,0.46299999999999997,4,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,15,241.8,37.3,81.6,0.45799999999999996,9.4,25.8,0.363,28.0,0.502,17.0,21.7,0.7809999999999999,8.7,31.3,40.0,24.9,8.3,15.3,19.2,101.0,L
Atlanta Hawks*2012-2013,44,38,0.537,2,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,14,242.1,37.6,81.0,0.46399999999999997,8.6,23.2,0.371,29.0,0.501,14.1,19.7,0.715,9.2,31.6,40.9,24.5,8.1,14.9,18.0,98.0,L
Atlanta Hawks*2011-2012,40,26,0.606,2,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,17,244.9,36.8,81.0,0.45399999999999996,7.5,20.2,0.37,29.3,0.48200000000000004,15.5,21.0,0.74,9.9,31.3,41.2,22.4,8.1,14.0,17.8,96.6,L
Atlanta Hawks*2010-2011,44,38,0.537,3,-1.1,89.3,-2.8,106.1,-1.2,107.0,-0.3,26,240.6,36.2,78.4,0.462,6.1,17.4,0.35200000000000004,30.1,0.494,16.4,21.1,0.779,9.3,30.0,39.3,22.0,6.1,13.6,19.0,95.0,L
Atlanta Hawks*2009-2010,53,29,0.6459999999999999,2,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,13,242.1,38.8,82.9,0.46799999999999997,6.4,17.7,0.36,32.4,0.49700000000000005,17.7,23.3,0.759,11.8,29.9,41.7,21.8,7.2,12.0,19.9,101.7,L
Atlanta Hawks*2008-2009,47,35,0.573,2,1.7,89.6,-2.1,109.3,1.0,107.6,-0.7,19,240.3,36.0,78.7,0.45799999999999996,7.3,19.9,0.366,28.8,0.49,18.7,25.4,0.737,10.6,29.4,40.0,20.2,7.4,12.8,19.6,98.1,L
Boston Celtics*2016-2017,53,29,0.6459999999999999,1,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,7,240.9,38.6,85.1,0.45399999999999996,12.0,33.4,0.359,26.6,0.515,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,13.3,20.6,108.0,L
